2018-07-14 07:54:01,111 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2018-07-14 07:54:01,188 [     77]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PC-181.5087.37, 24 May 2018 02:01) 
2018-07-14 07:54:01,188 [     77]   INFO -        #com.intellij.idea.Main - OS: Linux (4.4.0-128-generic, amd64) 
2018-07-14 07:54:01,188 [     77]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_152-release-1136-b39 (JetBrains s.r.o) 
2018-07-14 07:54:01,188 [     77]   INFO -        #com.intellij.idea.Main - JVM: 25.152-b39 (OpenJDK 64-Bit Server VM) 
2018-07-14 07:54:01,189 [     78]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/necron9x11/java_error_in_PYCHARM_%p.log -XX:HeapDumpPath=/home/necron9x11/java_error_in_PYCHARM.hprof -Didea.paths.selector=PyCharmCE2018.1 -Djb.vmOptionsFile=/opt/pycharm-community-2018.1.4/bin/pycharm64.vmoptions -Didea.platform.prefix=PyCharmCore 
2018-07-14 07:54:01,189 [     78]   INFO -        #com.intellij.idea.Main - ext: /opt/pycharm-community-2018.1.4/jre64/lib/ext: [nashorn.jar, sunjce_provider.jar, jaccess.jar, sunec.jar, meta-index, zipfs.jar, localedata.jar, dnsns.jar, cldrdata.jar, sunpkcs11.jar, jfxrt.jar] 
2018-07-14 07:54:01,190 [     79]   INFO -        #com.intellij.idea.Main - JNU charset: UTF-8 
2018-07-14 07:54:01,201 [     90]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 11 ms 
2018-07-14 07:54:01,404 [    293]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2018-07-14 07:54:01,404 [    293]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (IDE-managed HiDPI) 
2018-07-14 07:54:24,180 [  23069]   INFO - .intellij.idea.IdeaApplication - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@4e413c25[Running, parallelism = 3, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@7ce8a05f 
2018-07-14 07:54:24,194 [  23083]   INFO - .intellij.idea.IdeaApplication - WM detected: Compiz 
2018-07-14 07:54:24,763 [  23652]   INFO - llij.ide.plugins.PluginManager - 19 plugins initialized in 449 ms 
2018-07-14 07:54:24,763 [  23652]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: CVS Integration (11), EditorConfig (181.5087.37), Git Integration (8.1), GitHub (181.5087.37), IDEA CORE (181.5087.37), IPython Notebook (0.1), IntelliLang (8.0), Mercurial Integration (10.0), Properties Support (181.5087.37), Python IntelliLang (VERSION), Python ReStructureText Integration (1.0), Python Terminal (VERSION), ReStructuredText Support (181.5087.37), Settings Repository (181.5087.37), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), YAML (181.5087.37) 
2018-07-14 07:54:24,763 [  23652]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: IdeaVim (0.49) 
2018-07-14 07:54:25,044 [  23933]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/home/necron9x11/.PyCharmCE2018.1/system/caches/names.dat' does not exist 
2018-07-14 07:54:25,046 [  23935]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=705 
2018-07-14 07:54:25,074 [  23963]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /opt/pycharm-community-2018.1.4/bin/fsnotifier64 
2018-07-14 07:54:25,085 [  23974]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2018-07-14 07:54:25,217 [  24106]   INFO - pi.util.registry.RegistryState - Registry values changed by user: 
2018-07-14 07:54:25,217 [  24106]   INFO - pi.util.registry.RegistryState -   debugger.watches.in.variables = false 
2018-07-14 07:54:25,443 [  24332]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=15, fontScale=1.25; restored: fontSize=15, fontScale=1.0 
